selected,total,duration,solving_time,instant,1,2,3,4
0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.02
0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.03
0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.04
0.0,0.0,0.0,0.0,3.25,0.0,0.0,0.0,0.04
0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.05
0.0,0.0,0.0,0.0,4.25,0.0,0.0,0.0,0.05
0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.06
0.0,0.0,0.0,0.0,5.25,0.0,0.0,0.0,0.06
0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.07
0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.07
0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.07
0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.08
0.0,0.0,0.0,0.0,7.25,0.0,0.0,0.0,0.08
0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.08
0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.09
0.0,0.0,0.0,0.0,8.25,0.0,0.0,0.0,0.09
0.0,0.0,0.0,0.0,8.5,0.0,0.0,0.0,0.09
0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.1
0.0,0.0,0.0,0.0,9.25,0.0,0.0,0.0,0.1
0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.1
0.0,0.0,0.0,0.0,9.75,0.0,0.0,0.0,0.1
0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.11
0.0,0.0,0.0,0.0,10.25,0.0,0.0,0.0,0.11
0.0,0.0,0.0,0.0,10.5,0.0,0.0,0.0,0.11
0.0,0.0,0.0,0.0,10.75,0.0,0.0,0.0,0.11
0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.12
0.0,0.0,0.0,0.0,11.25,0.0,0.0,0.0,0.12
0.0,0.0,0.0,0.0,11.5,0.0,0.0,0.0,0.12
0.0,0.0,0.0,0.0,11.75,0.0,0.0,0.0,0.12
0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.13
0.0,0.0,0.0,0.0,12.25,0.0,0.0,0.0,0.13
0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.13
0.0,0.0,0.0,0.0,12.75,0.0,0.0,0.0,0.13
0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.14
0.0,0.0,0.0,0.0,13.25,0.0,0.0,0.0,0.14
0.0,0.0,0.0,0.0,13.5,0.0,0.0,0.0,0.14
0.0,0.0,0.0,0.0,13.75,0.0,0.0,0.0,0.14
0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.15
0.0,0.0,0.0,0.0,14.25,0.0,0.0,0.0,0.15
0.0,0.0,0.0,0.0,14.5,0.0,0.0,0.0,0.15
0.0,0.0,0.0,0.0,14.75,0.0,0.0,0.0,0.15
0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.16
0.0,0.0,0.0,0.0,15.25,0.0,0.0,0.0,0.16
0.0,0.0,0.0,0.0,15.5,0.0,0.0,0.0,0.16
0.0,0.0,0.0,0.0,15.75,0.0,0.0,0.0,0.16
0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.17
0.0,0.0,0.0,0.0,16.25,0.0,0.0,0.0,0.16
0.0,0.0,0.0,0.0,16.5,0.0,0.0,0.0,0.16
0.0,0.0,0.0,0.0,16.75,0.0,0.0,0.0,0.16
0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.17
0.0,0.0,0.0,0.0,17.25,0.0,0.0,0.0,0.16
0.0,0.0,0.0,0.0,17.5,0.0,0.0,0.0,0.16
0.0,0.0,0.0,0.0,17.75,0.0,0.0,0.0,0.16
0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.17
0.0,0.0,0.0,0.0,18.25,0.0,0.0,0.0,0.16
0.0,0.0,0.0,0.0,18.5,0.0,0.0,0.0,0.16
0.0,0.0,0.0,0.0,18.75,0.0,0.0,0.0,0.16
0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.17
0.0,0.0,0.0,0.0,19.25,0.0,0.0,0.0,0.16
0.0,0.0,0.0,0.0,19.5,0.0,0.0,0.0,0.15
0.0,0.0,0.0,0.0,19.75,0.0,0.0,0.0,0.15
0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.16
0.0,0.0,0.0,0.0,20.25,0.0,0.0,0.0,0.15
0.0,0.0,0.0,0.0,20.5,0.0,0.0,0.0,0.14
0.0,0.0,0.0,0.0,20.75,0.0,0.0,0.0,0.14
0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.15
0.0,0.0,0.0,0.0,21.25,0.0,0.0,0.0,0.14
0.0,0.0,0.0,0.0,21.5,0.0,0.0,0.0,0.13
0.0,0.0,0.0,0.0,21.75,0.0,0.0,0.0,0.13
0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.14
0.0,0.0,0.0,0.0,22.25,0.0,0.0,0.0,0.13
0.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,0.12
0.0,0.0,0.0,0.0,22.75,0.0,0.0,0.0,0.11
0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.12
0.0,0.0,0.0,0.0,23.25,0.0,0.0,0.0,0.11
0.0,0.0,0.0,0.0,23.5,0.0,0.0,0.0,0.1
0.0,0.0,0.0,0.0,23.75,0.0,0.0,0.0,0.09
0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.1
0.0,0.0,0.0,0.0,24.25,0.0,0.0,0.0,0.09
0.0,0.0,0.0,0.0,24.5,0.0,0.0,0.0,0.08
0.0,0.0,0.0,0.0,24.75,0.0,0.0,0.0,0.07
0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.08
0.0,0.0,0.0,0.0,25.25,0.0,0.0,0.0,0.07
0.0,0.0,0.0,0.0,25.5,0.0,0.0,0.0,0.06
0.0,0.0,0.0,0.0,25.75,0.0,0.0,0.0,0.05
0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.05
0.0,0.0,0.0,0.0,26.25,0.0,0.0,0.0,0.04
0.0,0.0,0.0,0.0,26.5,0.0,0.0,0.0,0.03
0.0,0.0,0.0,0.0,26.75,0.0,0.0,0.0,0.02
0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.03,-0.01
0.0,0.0,0.0,0.0,27.25,0.0,0.0,0.05,-0.04
0.0,0.0,0.0,0.0,27.5,0.0,0.0,0.07,-0.07
0.0,0.0,0.0,0.0,27.75,0.0,0.0,0.09,-0.1
0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.12,-0.13
0.0,0.0,0.0,0.0,28.25,0.0,0.0,0.14,-0.16
0.0,0.0,0.0,0.0,28.5,0.0,0.0,0.16,-0.19
0.0,0.0,0.0,0.0,28.75,0.0,0.0,0.18,-0.22
0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.21,-0.25
0.0,0.0,0.0,0.0,29.25,0.0,0.0,0.24,-0.3
0.0,0.0,0.0,0.0,29.5,0.0,0.0,0.26,-0.33
0.0,0.0,0.0,0.0,29.75,0.0,0.0,0.28,-0.36
0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.31,-0.39
0.0,0.0,0.0,0.0,30.25,0.0,0.0,0.29,-0.39
0.0,0.0,0.0,0.0,30.5,0.0,0.0,0.28,-0.39
0.0,0.0,0.0,0.0,30.75,0.0,0.0,0.27,-0.39
0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.27,-0.39
0.0,0.0,0.0,0.0,31.25,0.0,0.0,0.25,-0.39
0.0,0.0,0.0,0.0,31.5,0.0,0.0,0.24,-0.39
0.0,0.0,0.0,0.0,31.75,0.0,0.0,0.23,-0.39
0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.23,-0.39
0.0,0.0,0.0,0.0,32.25,0.0,0.0,0.21,-0.39
0.0,0.0,0.0,0.0,32.5,0.0,0.0,0.19,-0.39
